Incident_Id,Bias,Cluster
165033,Anti-White,Racial or Ethnicity
165034,Anti-Black or African American,Racial or Ethnicity
165035,Anti-White,Racial or Ethnicity
165036,Anti-Mental Disability,Disability
165037,Anti-Lesbian (Female),Sexual Orientation
165038,Anti-Black or African American,Racial or Ethnicity
165039,Anti-White,Racial or Ethnicity
165040,Anti-White,Racial or Ethnicity
165041,Anti-Black or African American,Racial or Ethnicity
165042,Anti-White,Racial or Ethnicity
165043,Anti-White,Racial or Ethnicity
165044,Anti-White,Racial or Ethnicity
165045,Anti-Other Religion,Religion or Belief
165046,Anti-White,Racial or Ethnicity
165047,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
165048,Anti-Lesbian (Female),Sexual Orientation
165049,Anti-Hispanic or Latino,Racial or Ethnicity
165050,Anti-Black or African American,Racial or Ethnicity
165051,Anti-Black or African American,Racial or Ethnicity
165052,Anti-White,Racial or Ethnicity
165053,Anti-Mental Disability,Disability
165054,Anti-Black or African American,Racial or Ethnicity
165055,"Anti-Multiple Religions, Group",Religion or Belief
165056,Anti-Black or African American,Racial or Ethnicity
165057,Anti-Black or African American,Racial or Ethnicity
165058,Anti-White,Racial or Ethnicity
165059,Anti-Asian,Racial or Ethnicity
165060,Anti-Black or African American,Racial or Ethnicity
165061,Anti-Lesbian (Female),Sexual Orientation
165062,Anti-Black or African American,Racial or Ethnicity
165063,Anti-Hispanic or Latino,Racial or Ethnicity
165064,Anti-Black or African American,Racial or Ethnicity
165065,Anti-Black or African American,Racial or Ethnicity
165066,Anti-White,Racial or Ethnicity
165067,Anti-Lesbian (Female),Sexual Orientation
165068,Anti-Black or African American,Racial or Ethnicity
165069,Anti-White,Racial or Ethnicity
165070,Anti-Lesbian (Female),Sexual Orientation
165071,Anti-White,Racial or Ethnicity
165072,Anti-Hispanic or Latino,Racial or Ethnicity
165073,Anti-White,Racial or Ethnicity
165074,Anti-Black or African American,Racial or Ethnicity
165075,Anti-Gay (Male),Sexual Orientation
165076,Anti-Hispanic or Latino,Racial or Ethnicity
165077,Anti-Hispanic or Latino,Racial or Ethnicity
165078,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
165079,"Anti-Multiple Races, Group",Racial or Ethnicity
165080,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
165081,Anti-Gay (Male),Sexual Orientation
165082,Anti-Black or African American,Racial or Ethnicity
165083,Anti-Black or African American,Racial or Ethnicity
165084,Anti-White,Racial or Ethnicity
165085,Anti-Black or African American,Racial or Ethnicity
165086,Anti-Black or African American,Racial or Ethnicity
165087,Anti-Black or African American,Racial or Ethnicity
165088,Anti-White,Racial or Ethnicity
165089,Anti-White,Racial or Ethnicity
165090,Anti-White,Racial or Ethnicity
165091,Anti-Black or African American,Racial or Ethnicity
165092,Anti-White,Racial or Ethnicity
165093,Anti-White,Racial or Ethnicity
165094,Anti-White,Racial or Ethnicity
165095,Anti-American Indian or Alaska Native,Racial or Ethnicity
165096,Anti-Black or African American,Racial or Ethnicity
165097,Anti-Black or African American,Racial or Ethnicity
165098,Anti-White,Racial or Ethnicity
165099,Anti-Hispanic or Latino,Racial or Ethnicity
165100,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
165101,"Anti-Multiple Races, Group",Racial or Ethnicity
165102,Anti-White,Racial or Ethnicity
165103,Anti-Gay (Male),Sexual Orientation
165104,Anti-Gay (Male),Sexual Orientation
165105,"Anti-Multiple Races, Group",Racial or Ethnicity
165106,Anti-Black or African American,Racial or Ethnicity
165107,Anti-Gay (Male),Sexual Orientation
165108,Anti-White,Racial or Ethnicity
165109,Anti-Lesbian (Female),Sexual Orientation
165110,Anti-White,Racial or Ethnicity
165111,Anti-Black or African American,Racial or Ethnicity
165112,Anti-White,Racial or Ethnicity
165113,Anti-Black or African American,Racial or Ethnicity
165114,Anti-Hispanic or Latino,Racial or Ethnicity
165115,Anti-Gay (Male),Sexual Orientation
165116,Anti-Gay (Male),Sexual Orientation
165117,Anti-White,Racial or Ethnicity
165118,Anti-Hispanic or Latino,Racial or Ethnicity
165119,Anti-Hispanic or Latino,Racial or Ethnicity
165120,Anti-Gay (Male),Sexual Orientation
165121,Anti-White,Racial or Ethnicity
165122,Anti-Black or African American,Racial or Ethnicity
165123,Anti-Mental Disability,Disability
165124,Anti-Hispanic or Latino,Racial or Ethnicity
165125,Anti-Black or African American,Racial or Ethnicity
165126,Anti-Gay (Male),Sexual Orientation
165127,Anti-Black or African American,Racial or Ethnicity
165128,Anti-Black or African American,Racial or Ethnicity
165129,Anti-White,Racial or Ethnicity
165130,Anti-Other Religion,Religion or Belief
165131,Anti-Gay (Male),Sexual Orientation
165132,Anti-Black or African American,Racial or Ethnicity
165133,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
165134,Anti-Islamic (Muslim),Religion or Belief
165135,Anti-American Indian or Alaska Native,Racial or Ethnicity
165136,Anti-Asian,Racial or Ethnicity
165137,Anti-Mental Disability,Disability
165138,Anti-Black or African American,Racial or Ethnicity
165139,Anti-Hispanic or Latino,Racial or Ethnicity
165140,Anti-Black or African American,Racial or Ethnicity
165141,Anti-Black or African American,Racial or Ethnicity
165142,Anti-White,Racial or Ethnicity
165143,Anti-Physical Disability,Disability
165144,Anti-White,Racial or Ethnicity
165145,Anti-Black or African American,Racial or Ethnicity
165146,"Anti-Multiple Races, Group",Racial or Ethnicity
165147,Anti-Black or African American,Racial or Ethnicity
165148,Anti-White,Racial or Ethnicity
165149,Anti-Black or African American,Racial or Ethnicity
165150,Anti-White,Racial or Ethnicity
165151,Anti-White,Racial or Ethnicity
165152,Anti-Asian,Racial or Ethnicity
165153,Anti-White,Racial or Ethnicity
165154,Anti-White,Racial or Ethnicity
165155,Anti-Black or African American,Racial or Ethnicity
165156,Anti-Black or African American,Racial or Ethnicity
165157,Anti-Gay (Male),Sexual Orientation
165158,Anti-Gay (Male),Sexual Orientation
165159,Anti-Black or African American,Racial or Ethnicity
165160,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
165161,Anti-Black or African American,Racial or Ethnicity
165162,Anti-Black or African American,Racial or Ethnicity
165163,Anti-Black or African American,Racial or Ethnicity
165164,Anti-Hispanic or Latino,Racial or Ethnicity
165165,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
165166,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
165167,Anti-White,Racial or Ethnicity
165168,Anti-Black or African American,Racial or Ethnicity
165169,Anti-White,Racial or Ethnicity
164998,Anti-Black or African American,Racial or Ethnicity
164999,Anti-Black or African American,Racial or Ethnicity
165000,Anti-Gay (Male),Sexual Orientation
165001,"Anti-Multiple Races, Group",Racial or Ethnicity
165002,Anti-Black or African American,Racial or Ethnicity
165003,Anti-Asian,Racial or Ethnicity
165004,Anti-Gay (Male),Sexual Orientation
165005,Anti-American Indian or Alaska Native,Racial or Ethnicity
165178,Anti-White,Racial or Ethnicity
165179,Anti-Black or African American,Racial or Ethnicity
165180,"Anti-Multiple Races, Group",Racial or Ethnicity
165181,Anti-Jewish,Religion or Belief
165182,Anti-Atheism/Agnosticism,Religion or Belief
165183,"Anti-Multiple Religions, Group",Religion or Belief
165184,Anti-Bisexual,Sexual Orientation
165185,Anti-Catholic,Religion or Belief
165186,Anti-Islamic (Muslim),Religion or Belief
165187,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
165188,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
165189,Anti-Black or African American,Racial or Ethnicity
165190,Anti-Black or African American,Racial or Ethnicity
165191,Anti-Black or African American,Racial or Ethnicity
165192,Anti-Black or African American,Racial or Ethnicity
165193,Anti-Black or African American,Racial or Ethnicity
165170,Anti-Black or African American,Racial or Ethnicity
165171,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
165172,Anti-Gay (Male),Sexual Orientation
165173,Anti-Gay (Male),Sexual Orientation
165174,Anti-Gay (Male),Sexual Orientation
165175,Anti-Gay (Male),Sexual Orientation
165176,Anti-Gay (Male),Sexual Orientation
165177,"Anti-Multiple Religions, Group",Religion or Belief
165270,Anti-Other Religion,Religion or Belief
165271,Anti-Jewish,Religion or Belief
165272,Anti-Gay (Male),Sexual Orientation
165273,Anti-Jewish,Religion or Belief
165274,Anti-Lesbian (Female),Sexual Orientation
165275,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
165276,Anti-Black or African American,Racial or Ethnicity
165277,Anti-Black or African American,Racial or Ethnicity
165278,Anti-Hispanic or Latino,Racial or Ethnicity
165279,Anti-White,Racial or Ethnicity
165280,Anti-White,Racial or Ethnicity
165281,Anti-White,Racial or Ethnicity
165282,Anti-White,Racial or Ethnicity
165283,Anti-Asian,Racial or Ethnicity
165284,Anti-Jewish,Religion or Belief
165285,Anti-Jewish,Religion or Belief
165286,Anti-Jewish,Religion or Belief
165287,Anti-Gay (Male),Sexual Orientation
165288,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
165289,Anti-Black or African American,Racial or Ethnicity
165290,Anti-Gay (Male),Sexual Orientation
165291,Anti-Hispanic or Latino,Racial or Ethnicity
165292,Anti-Gay (Male),Sexual Orientation
165293,Anti-Jewish,Religion or Belief
165294,Anti-Black or African American,Racial or Ethnicity
165295,Anti-Gay (Male),Sexual Orientation
165296,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
165297,Anti-Black or African American,Racial or Ethnicity
165298,Anti-Gay (Male),Sexual Orientation
165299,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
165300,Anti-Catholic,Religion or Belief
165301,Anti-Physical Disability,Disability
165302,Anti-Hispanic or Latino,Racial or Ethnicity
165303,Anti-Gay (Male),Sexual Orientation
165304,Anti-Gay (Male),Sexual Orientation
165305,Anti-Islamic (Muslim),Religion or Belief
165306,Anti-Mental Disability,Disability
165307,Anti-Asian,Racial or Ethnicity
165308,Anti-Gay (Male),Sexual Orientation
165309,Anti-Black or African American,Racial or Ethnicity
165310,Anti-Hispanic or Latino,Racial or Ethnicity
165311,Anti-Black or African American,Racial or Ethnicity
165312,Anti-Gay (Male),Sexual Orientation
165313,Anti-Hispanic or Latino,Racial or Ethnicity
165314,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
165315,Anti-Black or African American,Racial or Ethnicity
165316,Anti-Gay (Male),Sexual Orientation
165317,Anti-White,Racial or Ethnicity
165318,Anti-Lesbian (Female),Sexual Orientation
165319,Anti-Gay (Male),Sexual Orientation
165320,Anti-Black or African American,Racial or Ethnicity
165321,Anti-Black or African American,Racial or Ethnicity
165322,Anti-Gay (Male),Sexual Orientation
165323,Anti-Gay (Male),Sexual Orientation
165324,Anti-Lesbian (Female),Sexual Orientation
165325,Anti-Hispanic or Latino,Racial or Ethnicity
165326,Anti-Gay (Male),Sexual Orientation
165327,Anti-Black or African American,Racial or Ethnicity
165328,Anti-Gay (Male),Sexual Orientation
165329,Anti-Islamic (Muslim),Religion or Belief
165330,Anti-Black or African American,Racial or Ethnicity
165331,Anti-Lesbian (Female),Sexual Orientation
165332,Anti-Black or African American,Racial or Ethnicity
165333,Anti-Jewish,Religion or Belief
165334,Anti-Black or African American,Racial or Ethnicity
165335,Anti-Black or African American,Racial or Ethnicity
165336,Anti-Jewish,Religion or Belief
165337,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
165338,Anti-Gay (Male),Sexual Orientation
165339,Anti-Jewish,Religion or Belief
165340,Anti-Black or African American,Racial or Ethnicity
165341,Anti-Black or African American,Racial or Ethnicity
165342,Anti-Black or African American,Racial or Ethnicity
165343,Anti-Jewish,Religion or Belief
165344,Anti-Jewish,Religion or Belief
165345,Anti-Black or African American,Racial or Ethnicity
165346,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
165347,Anti-Jewish,Religion or Belief
165348,Anti-Gay (Male),Sexual Orientation
165349,Anti-Gay (Male),Sexual Orientation
165350,Anti-Gay (Male),Sexual Orientation
165351,Anti-Black or African American,Racial or Ethnicity
165352,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
165353,Anti-Islamic (Muslim),Religion or Belief
165354,Anti-Islamic (Muslim),Religion or Belief
165355,Anti-Hispanic or Latino,Racial or Ethnicity
165356,Anti-Black or African American,Racial or Ethnicity
165357,Anti-Black or African American,Racial or Ethnicity
165358,Anti-Black or African American,Racial or Ethnicity
165359,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
165360,Anti-Other Religion,Religion or Belief
165361,Anti-White,Racial or Ethnicity
165362,Anti-Protestant,Religion or Belief
165363,Anti-White,Racial or Ethnicity
165364,Anti-White,Racial or Ethnicity
165365,Anti-White,Racial or Ethnicity
165366,Anti-Black or African American,Racial or Ethnicity
165367,Anti-Black or African American,Racial or Ethnicity
165368,Anti-Lesbian (Female),Sexual Orientation
165369,Anti-Gay (Male),Sexual Orientation
165370,Anti-Hispanic or Latino,Racial or Ethnicity
165371,Anti-Islamic (Muslim),Religion or Belief
165372,Anti-Asian,Racial or Ethnicity
165373,Anti-Jewish,Religion or Belief
165374,Anti-Hispanic or Latino,Racial or Ethnicity
165375,Anti-Black or African American,Racial or Ethnicity
165376,Anti-Black or African American,Racial or Ethnicity
165377,Anti-Jewish,Religion or Belief
165378,Anti-Black or African American,Racial or Ethnicity
165379,Anti-Mental Disability,Disability
165380,Anti-Jewish,Religion or Belief
165381,Anti-Jewish,Religion or Belief
165382,Anti-Asian,Racial or Ethnicity
165383,Anti-Hispanic or Latino,Racial or Ethnicity
165384,Anti-Black or African American,Racial or Ethnicity
165385,Anti-Black or African American,Racial or Ethnicity
165386,Anti-Lesbian (Female),Sexual Orientation
165387,Anti-Hispanic or Latino,Racial or Ethnicity
165388,Anti-Gay (Male),Sexual Orientation
165389,Anti-Islamic (Muslim),Religion or Belief
165390,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
165393,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
165391,Anti-Gay (Male),Sexual Orientation
165392,Anti-Jewish,Religion or Belief
165394,Anti-White,Racial or Ethnicity
165395,Anti-White,Racial or Ethnicity
165396,Anti-White,Racial or Ethnicity
165397,Anti-Jewish,Religion or Belief
165398,Anti-Gay (Male),Sexual Orientation
165399,Anti-Jewish,Religion or Belief
165400,Anti-Jewish,Religion or Belief
165401,Anti-Black or African American,Racial or Ethnicity
165402,Anti-Black or African American,Racial or Ethnicity
165403,Anti-Black or African American,Racial or Ethnicity
165404,Anti-White,Racial or Ethnicity
165405,Anti-Jewish,Religion or Belief
165406,Anti-Black or African American,Racial or Ethnicity
165407,Anti-Asian,Racial or Ethnicity
165408,Anti-Black or African American,Racial or Ethnicity
165409,Anti-Jewish,Religion or Belief
165410,Anti-Hispanic or Latino,Racial or Ethnicity
165411,Anti-Black or African American,Racial or Ethnicity
165412,Anti-Asian,Racial or Ethnicity
165413,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
165414,Anti-Catholic,Religion or Belief
165415,Anti-Hispanic or Latino,Racial or Ethnicity
165416,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
165417,Anti-Black or African American,Racial or Ethnicity
165418,Anti-Gay (Male),Sexual Orientation
165419,Anti-Lesbian (Female),Sexual Orientation
165420,Anti-Jewish,Religion or Belief
165421,Anti-Jewish,Religion or Belief
165422,Anti-Jewish,Religion or Belief
165423,Anti-Jewish,Religion or Belief
165424,Anti-Catholic,Religion or Belief
165425,Anti-Black or African American,Racial or Ethnicity
165426,Anti-Black or African American,Racial or Ethnicity
165427,Anti-White,Racial or Ethnicity
165428,Anti-White,Racial or Ethnicity
165429,Anti-White,Racial or Ethnicity
165430,Anti-Jewish,Religion or Belief
165431,Anti-White,Racial or Ethnicity
165432,Anti-White,Racial or Ethnicity
165433,Anti-White,Racial or Ethnicity
165434,Anti-White,Racial or Ethnicity
165435,Anti-White,Racial or Ethnicity
165436,Anti-White,Racial or Ethnicity
165437,Anti-Gay (Male),Sexual Orientation
165438,Anti-White,Racial or Ethnicity
165439,Anti-Asian,Racial or Ethnicity
165440,Anti-Black or African American,Racial or Ethnicity
165441,Anti-Black or African American,Racial or Ethnicity
165442,Anti-White,Racial or Ethnicity
165443,Anti-Gay (Male),Sexual Orientation
165444,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
165445,Anti-Black or African American,Racial or Ethnicity
165446,Anti-Gay (Male),Sexual Orientation
165447,Anti-Black or African American,Racial or Ethnicity
165448,Anti-Black or African American,Racial or Ethnicity
165449,Anti-White,Racial or Ethnicity
165450,Anti-Black or African American,Racial or Ethnicity
165451,Anti-Black or African American,Racial or Ethnicity
165452,Anti-Black or African American,Racial or Ethnicity
165453,Anti-White,Racial or Ethnicity
165454,Anti-Lesbian (Female),Sexual Orientation
165455,Anti-Black or African American,Racial or Ethnicity
165456,Anti-Black or African American,Racial or Ethnicity
165457,Anti-Gay (Male),Sexual Orientation
165458,Anti-Gay (Male),Sexual Orientation
165459,Anti-Gay (Male),Sexual Orientation
165460,Anti-Black or African American,Racial or Ethnicity
165461,Anti-Black or African American,Racial or Ethnicity
165462,Anti-Gay (Male),Sexual Orientation
165463,Anti-Black or African American,Racial or Ethnicity
165464,Anti-Gay (Male),Sexual Orientation
165465,Anti-Gay (Male),Sexual Orientation
165466,Anti-White,Racial or Ethnicity
165467,Anti-Black or African American,Racial or Ethnicity
165468,Anti-Hispanic or Latino,Racial or Ethnicity
165469,Anti-Jewish,Religion or Belief
165470,Anti-Gay (Male),Sexual Orientation
165471,Anti-Black or African American,Racial or Ethnicity
165472,Anti-Gay (Male),Sexual Orientation
165473,Anti-Black or African American,Racial or Ethnicity
165474,Anti-Black or African American,Racial or Ethnicity
165475,Anti-Other Religion,Religion or Belief
165476,Anti-White,Racial or Ethnicity
165477,Anti-Black or African American,Racial or Ethnicity
165478,Anti-Gay (Male),Sexual Orientation
165479,Anti-Asian,Racial or Ethnicity
165480,Anti-Lesbian (Female),Sexual Orientation
165481,Anti-Gay (Male),Sexual Orientation
165482,Anti-Gay (Male),Sexual Orientation
165483,Anti-Black or African American,Racial or Ethnicity
165484,Anti-Gay (Male),Sexual Orientation
165485,Anti-Islamic (Muslim),Religion or Belief
165486,Anti-Gay (Male),Sexual Orientation
165487,Anti-Hispanic or Latino,Racial or Ethnicity
165488,Anti-Hispanic or Latino,Racial or Ethnicity
165489,Anti-Gay (Male),Sexual Orientation
165490,Anti-Gay (Male),Sexual Orientation
165491,Anti-Black or African American,Racial or Ethnicity
165492,Anti-Hispanic or Latino,Racial or Ethnicity
165493,Anti-Black or African American,Racial or Ethnicity
165494,Anti-Black or African American,Racial or Ethnicity
165495,Anti-Black or African American,Racial or Ethnicity
165496,Anti-Gay (Male),Sexual Orientation
165497,Anti-Black or African American,Racial or Ethnicity
165498,Anti-Gay (Male),Sexual Orientation
165499,Anti-White,Racial or Ethnicity
165500,Anti-Black or African American,Racial or Ethnicity
165501,Anti-Black or African American,Racial or Ethnicity
165502,Anti-Jewish,Religion or Belief
165503,Anti-Gay (Male),Sexual Orientation
165504,Anti-White,Racial or Ethnicity
165505,Anti-Gay (Male),Sexual Orientation
165506,Anti-Black or African American,Racial or Ethnicity
165507,Anti-Gay (Male),Sexual Orientation
165508,Anti-Black or African American,Racial or Ethnicity
165509,Anti-White,Racial or Ethnicity
165510,Anti-Black or African American,Racial or Ethnicity
165511,Anti-Gay (Male),Sexual Orientation
165512,Anti-Gay (Male),Sexual Orientation
165513,Anti-Hispanic or Latino,Racial or Ethnicity
165514,Anti-Gay (Male),Sexual Orientation
165515,Anti-Gay (Male),Sexual Orientation
165516,Anti-Black or African American,Racial or Ethnicity
165517,Anti-Gay (Male),Sexual Orientation
165518,Anti-Black or African American,Racial or Ethnicity
165519,Anti-Gay (Male),Sexual Orientation
165520,Anti-Gay (Male),Sexual Orientation
165521,Anti-Hispanic or Latino,Racial or Ethnicity
165522,Anti-Black or African American,Racial or Ethnicity
165523,Anti-Black or African American,Racial or Ethnicity
165524,Anti-Jewish,Religion or Belief
165525,Anti-Jewish,Religion or Belief
165526,Anti-Black or African American,Racial or Ethnicity
165527,Anti-White,Racial or Ethnicity
165528,Anti-Gay (Male),Sexual Orientation
165529,Anti-Black or African American,Racial or Ethnicity
165530,Anti-Gay (Male),Sexual Orientation
165531,Anti-Gay (Male),Sexual Orientation
165532,Anti-Black or African American,Racial or Ethnicity
165533,Anti-Islamic (Muslim),Religion or Belief
165534,Anti-Islamic (Muslim),Religion or Belief
165535,Anti-Black or African American,Racial or Ethnicity
165536,Anti-Gay (Male),Sexual Orientation
165537,Anti-White,Racial or Ethnicity
165538,Anti-Gay (Male),Sexual Orientation
165539,Anti-Gay (Male),Sexual Orientation
165540,Anti-Jewish,Religion or Belief
165541,Anti-White,Racial or Ethnicity
165542,Anti-Black or African American,Racial or Ethnicity
165543,Anti-Asian,Racial or Ethnicity
165544,Anti-Islamic (Muslim),Religion or Belief
165545,Anti-Gay (Male),Sexual Orientation
165546,Anti-Black or African American,Racial or Ethnicity
165547,Anti-Black or African American,Racial or Ethnicity
165548,Anti-Gay (Male),Sexual Orientation
165549,Anti-Islamic (Muslim),Religion or Belief
165550,Anti-Black or African American,Racial or Ethnicity
165551,Anti-Gay (Male),Sexual Orientation
165552,Anti-Hispanic or Latino,Racial or Ethnicity
165553,Anti-Hispanic or Latino,Racial or Ethnicity
165554,Anti-Gay (Male),Sexual Orientation
165555,Anti-Black or African American,Racial or Ethnicity
165556,Anti-Jewish,Religion or Belief
165557,Anti-White,Racial or Ethnicity
165558,Anti-Black or African American,Racial or Ethnicity
165559,"Anti-Multiple Races, Group",Racial or Ethnicity
165560,Anti-White,Racial or Ethnicity
165561,Anti-Transgender,Gender Identity
165562,Anti-Transgender,Gender Identity
165563,Anti-White,Racial or Ethnicity
165564,Anti-Other Religion,Religion or Belief
165565,Anti-Lesbian (Female),Sexual Orientation
165566,Anti-Jewish,Religion or Belief
165567,Anti-Jewish,Religion or Belief
165568,Anti-Jewish,Religion or Belief
165569,Anti-Catholic,Religion or Belief
165570,Anti-Gay (Male),Sexual Orientation
165571,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
165572,Anti-Jewish,Religion or Belief
165573,Anti-White,Racial or Ethnicity
165574,Anti-Black or African American,Racial or Ethnicity
165575,Anti-Black or African American,Racial or Ethnicity
165576,Anti-White,Racial or Ethnicity
165577,Anti-Gay (Male),Sexual Orientation
165578,Anti-Gay (Male),Sexual Orientation
165579,Anti-Hispanic or Latino,Racial or Ethnicity
165580,Anti-Gay (Male),Sexual Orientation
165581,Anti-Black or African American,Racial or Ethnicity
165582,Anti-White,Racial or Ethnicity
165583,Anti-Jewish,Religion or Belief
165584,Anti-White,Racial or Ethnicity
165585,Anti-White,Racial or Ethnicity
165586,Anti-Gay (Male),Sexual Orientation
165587,Anti-Jewish,Religion or Belief
165588,Anti-Gay (Male),Sexual Orientation
165589,Anti-Gay (Male),Sexual Orientation
165590,Anti-Transgender,Gender Identity
165591,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
165592,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
165593,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
165594,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
165595,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
165596,Anti-White,Racial or Ethnicity
165597,Anti-Gay (Male),Sexual Orientation
165598,Anti-American Indian or Alaska Native,Racial or Ethnicity
165599,Anti-Gay (Male),Sexual Orientation
165600,Anti-Jewish,Religion or Belief
165601,Anti-White,Racial or Ethnicity
165602,Anti-Black or African American,Racial or Ethnicity
165603,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
165604,Anti-Jewish,Religion or Belief
165605,Anti-Islamic (Muslim),Religion or Belief
165606,Anti-Islamic (Muslim),Religion or Belief
165607,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
165608,Anti-Lesbian (Female),Sexual Orientation
165609,Anti-Female,Gender
165610,Anti-Islamic (Muslim),Religion or Belief
165611,Anti-Black or African American,Racial or Ethnicity
165612,Anti-Gay (Male),Sexual Orientation
165613,Anti-Gay (Male),Sexual Orientation
165614,Anti-Black or African American,Racial or Ethnicity
165615,Anti-Gay (Male),Sexual Orientation
165616,Anti-Catholic,Religion or Belief
165617,Anti-Black or African American,Racial or Ethnicity
165618,Anti-Black or African American,Racial or Ethnicity
165619,Anti-Black or African American,Racial or Ethnicity
165620,Anti-Gay (Male),Sexual Orientation
165221,Anti-Jewish,Religion or Belief
165222,Anti-Black or African American,Racial or Ethnicity
165223,Anti-Jewish,Religion or Belief
165224,Anti-Jewish,Religion or Belief
165225,Anti-Black or African American,Racial or Ethnicity
165226,Anti-Black or African American,Racial or Ethnicity
165227,Anti-Black or African American,Racial or Ethnicity
165228,Anti-Protestant,Religion or Belief
165229,Anti-Protestant,Religion or Belief
165230,Anti-Black or African American,Racial or Ethnicity
165231,Anti-Black or African American,Racial or Ethnicity
165232,Anti-Lesbian (Female),Sexual Orientation
165233,Anti-Black or African American,Racial or Ethnicity
165234,Anti-Catholic,Religion or Belief
165235,Anti-Jewish,Religion or Belief
165236,Anti-Black or African American,Racial or Ethnicity
165237,Anti-Black or African American,Racial or Ethnicity
165238,Anti-Black or African American,Racial or Ethnicity
165239,Anti-Black or African American,Racial or Ethnicity
165240,Anti-Black or African American,Racial or Ethnicity
165241,Anti-Asian,Racial or Ethnicity
165242,Anti-Jewish,Religion or Belief
165243,Anti-Black or African American,Racial or Ethnicity
165244,Anti-Black or African American,Racial or Ethnicity
165245,Anti-Hispanic or Latino,Racial or Ethnicity
165246,Anti-Black or African American,Racial or Ethnicity
165247,Anti-Black or African American,Racial or Ethnicity
165248,Anti-Black or African American,Racial or Ethnicity
165249,Anti-Gay (Male),Sexual Orientation
165250,Anti-Jewish,Religion or Belief
165251,Anti-Gay (Male),Sexual Orientation
165252,Anti-White,Racial or Ethnicity
165253,Anti-White,Racial or Ethnicity
165254,Anti-White,Racial or Ethnicity
165255,Anti-Hispanic or Latino,Racial or Ethnicity
165256,Anti-White,Racial or Ethnicity
165257,Anti-White,Racial or Ethnicity
165258,Anti-Black or African American,Racial or Ethnicity
165259,Anti-Jewish,Religion or Belief
165260,Anti-Gay (Male),Sexual Orientation
165261,Anti-Jewish,Religion or Belief
165262,Anti-Jewish,Religion or Belief
165263,Anti-Lesbian (Female),Sexual Orientation
165264,Anti-Gay (Male),Sexual Orientation
165265,Anti-Gay (Male),Sexual Orientation
165266,Anti-Black or African American,Racial or Ethnicity
165267,Anti-Catholic,Religion or Belief
165268,"Anti-Multiple Religions, Group",Religion or Belief
165269,Anti-Black or African American,Racial or Ethnicity
165219,Anti-Hispanic or Latino,Racial or Ethnicity
165220,Anti-Islamic (Muslim),Religion or Belief
165194,Anti-White,Racial or Ethnicity
165195,Anti-White,Racial or Ethnicity
165196,Anti-Gay (Male),Sexual Orientation
165197,Anti-Black or African American,Racial or Ethnicity
165198,Anti-Black or African American,Racial or Ethnicity
165199,Anti-Islamic (Muslim),Religion or Belief
165200,Anti-Jewish,Religion or Belief
165201,Anti-Protestant,Religion or Belief
165202,Anti-Gay (Male),Sexual Orientation
165203,Anti-Lesbian (Female),Sexual Orientation
165204,Anti-Black or African American,Racial or Ethnicity
165205,Anti-Gay (Male),Sexual Orientation
165206,Anti-Black or African American,Racial or Ethnicity
165207,Anti-Black or African American,Racial or Ethnicity
